ID,email,propietario,color,marca,serie
723-24-3860,Nina_Cadman6038@brety.org,Nina Cadman,White,Audi R8,a8301df3-a381-4b57-9ee5-302c0694db99
702-56-4820,Alan_Poole950@naiker.biz,Alan Poole,Auburn,Hyundai Santa Fe,37939e46-6094-46a6-ab60-ee9b02a38e42
227-76-2616,Nina_Emmett9290@nimogy.biz,Nina Emmett,Emerald,Mitsubishi Lancer,9827f3f6-c794-4f41-9467-14594d25b4e2
404-60-2233,Abbey_Johnson2255@ovock.tech,Abbey Johnson,Rust,Fiat Freemont,bb1e7cdf-04dc-4e26-87f8-547f54834935
512-46-1452,Tyler_Uddin3005@cispeto.com,Tyler Uddin,Beige,Hyundai Tucson,5a3aa6c3-2e42-4b14-8267-c11da00350a5
865-72-0388,Ivette_Shepherd5310@twace.org,Ivette Shepherd,White,BMW M6,50d61a4b-f627-4b37-b1be-9d6b4ee2c624
453-41-7834,Bree_Edmonds9725@supunk.biz,Bree Edmonds,Cyan,BMW X5,b608703a-d631-429e-a43e-260dada22352
542-22-0046,Bryon_Uttridge3264@naiker.biz,Bryon Uttridge,Beige,Hyundai i40,b19da574-8e3b-4208-8de9-a54c55608a7c
707-85-0506,Barry_Clarke3712@vetan.org,Barry Clarke,Emerald,Citroen C4 Cactus,c471723d-49f0-4735-a107-e08b6599724d
588-51-8434,Hayden_Riley7785@gembat.biz,Hayden Riley,Gold,Hyundai i30,613b31a9-76d9-42b3-8dbf-6570b8bede39
361-21-8758,Alessandra_Butler892@typill.biz,Alessandra Butler,Sepia,Audi Q6,7ed7c658-9ab8-42f9-a960-235b48ae179a
666-70-7484,Marissa_Gibson7514@eirey.tech,Marissa Gibson,Mauve,BMW X5,a76f961c-8b0e-448f-9408-dac7d5be0762
568-72-2550,Darlene_Warden9445@joiniaa.com,Darlene Warden,Capri,Hyundai i30,43d91fe1-8d60-450c-9571-74b168a8ddf8
830-48-6442,Wade_Tyler7809@grannar.com,Wade Tyler,Aqua,Mitsubishi Lancer,dc3c639f-3777-4173-b8f5-26c9a12d5aff
343-06-0040,Barney_Savage7731@sveldo.biz,Barney Savage,Amethyst,Hyundai i35,548a7bd1-720e-4e12-a13e-63d3165003ec
756-76-3182,Chad_Olivier824@kideod.biz,Chad Olivier,Rust,BMW X6,870081ca-05b5-4ba5-810a-55f2671f2415
854-80-4083,Bob_Isaac8143@zorer.org,Bob Isaac,Dark Red,Fiat Argo,85f8d72f-4484-434b-ad9f-c82d30d48115
668-82-4302,Ruby_Davies2865@supunk.biz,Ruby Davies,Yellow,Audi A5,28cbcf18-27e8-4940-8331-f4805cc16169
877-40-4035,Harvey_Richards2232@famism.biz,Harvey Richards,Lavender,BMW X6,906bace8-5820-44ba-a096-08dd89d203e9
083-68-1532,Emely_Weston5431@sheye.org,Emely Weston,Olive,Hyundai i30,00886989-a9b6-4335-b182-9633b9e32cb9
407-87-8526,Keira_Wheeler5081@deons.tech,Keira Wheeler,Azure,Opel Insignia,af861caf-386d-4eec-a856-7211d67b4150
312-35-3272,Makena_Rees5320@zorer.org,Makena Rees,coral,Hyundai i30,af8862e9-8671-4878-a1a4-ed3018399f38
286-84-0602,Percy_Wooldridge3772@typill.biz,Percy Wooldridge,Pink,Mazda CX3,c84a7e36-ea04-4461-85c3-6cbcd71a11b2
461-54-1707,Wendy_Rehman4417@deavo.com,Wendy Rehman,Ultramarine,BMW M3,c07ae3c0-aac0-4b7b-b6e2-efc08706990e
042-13-0323,Barry_Flack4973@kideod.biz,Barry Flack,Camel,BMW X1,1c359aa4-51a4-4746-9bfa-4ed485fb9ca2
